ISO,Energy,Units,Month,Year,Generation
ISO-NE,Natural gas,billion kilowatthours,January,2011,4.43
ISO-NE,Coal,billion kilowatthours,January,2011,1.38
ISO-NE,Nuclear,billion kilowatthours,January,2011,3.47
ISO-NE,Conventional hydropower,billion kilowatthours,January,2011,0.65
ISO-NE,Nonhydro renewables,billion kilowatthours,January,2011,0.53
ISO-NE,other energy sources,billion kilowatthours,January,2011,0.3
NYISO,Natural gas,billion kilowatthours,January,2011,3.84
NYISO,Coal,billion kilowatthours,January,2011,1.3
NYISO,Nuclear,billion kilowatthours,January,2011,3.86
NYISO,Conventional hydropower,billion kilowatthours,January,2011,2.07
NYISO,Nonhydro renewables,billion kilowatthours,January,2011,0.31
NYISO,other energy sources,billion kilowatthours,January,2011,0.27
PJM,Natural gas,billion kilowatthours,January,2011,6.88
PJM,Coal,billion kilowatthours,January,2011,42.82
PJM,Nuclear,billion kilowatthours,January,2011,25.21
PJM,Conventional hydropower,billion kilowatthours,January,2011,0.42
PJM,Nonhydro renewables,billion kilowatthours,January,2011,1.31
PJM,other energy sources,billion kilowatthours,January,2011,0.31
SERC,Natural gas,billion kilowatthours,January,2011,9.69
SERC,Coal,billion kilowatthours,January,2011,33.43
SERC,Nuclear,billion kilowatthours,January,2011,17.5
SERC,Conventional hydropower,billion kilowatthours,January,2011,2.4
SERC,Nonhydro renewables,billion kilowatthours,January,2011,0.17
SERC,other energy sources,billion kilowatthours,January,2011,-0.03
FRCC,Natural gas,billion kilowatthours,January,2011,8.98
FRCC,Coal,billion kilowatthours,January,2011,4.4
FRCC,Nuclear,billion kilowatthours,January,2011,1.75
FRCC,Conventional hydropower,billion kilowatthours,January,2011,0.01
FRCC,Nonhydro renewables,billion kilowatthours,January,2011,0.21
FRCC,other energy sources,billion kilowatthours,January,2011,0.58
MISO,Natural gas,billion kilowatthours,January,2011,7.44
MISO,Coal,billion kilowatthours,January,2011,38.98
MISO,Nuclear,billion kilowatthours,January,2011,9.12
MISO,Conventional hydropower,billion kilowatthours,January,2011,0.54
MISO,Nonhydro renewables,billion kilowatthours,January,2011,2.36
MISO,other energy sources,billion kilowatthours,January,2011,0.82
SPP,Natural gas,billion kilowatthours,January,2011,4.32
SPP,Coal,billion kilowatthours,January,2011,15.93
SPP,Nuclear,billion kilowatthours,January,2011,1.85
SPP,Conventional hydropower,billion kilowatthours,January,2011,0.92
SPP,Nonhydro renewables,billion kilowatthours,January,2011,1.13
SPP,other energy sources,billion kilowatthours,January,2011,0.08
ERCOT,Natural gas,billion kilowatthours,January,2011,8.52
ERCOT,Coal,billion kilowatthours,January,2011,11.04
ERCOT,Nuclear,billion kilowatthours,January,2011,3.79
ERCOT,Conventional hydropower,billion kilowatthours,January,2011,0.01
ERCOT,Nonhydro renewables,billion kilowatthours,January,2011,1.94
ERCOT,other energy sources,billion kilowatthours,January,2011,0.28
Northwest and Rockies,Natural gas,billion kilowatthours,January,2011,3.93
Northwest and Rockies,Coal,billion kilowatthours,January,2011,12.37
Northwest and Rockies,Nuclear,billion kilowatthours,January,2011,0.82
Northwest and Rockies,Conventional hydropower,billion kilowatthours,January,2011,14.27
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,January,2011,2.28
Northwest and Rockies,other energy sources,billion kilowatthours,January,2011,0.05
Southwest,Natural gas,billion kilowatthours,January,2011,1.95
Southwest,Coal,billion kilowatthours,January,2011,6.27
Southwest,Nuclear,billion kilowatthours,January,2011,2.85
Southwest,Conventional hydropower,billion kilowatthours,January,2011,0.74
Southwest,Nonhydro renewables,billion kilowatthours,January,2011,0.53
Southwest,other energy sources,billion kilowatthours,January,2011,0.01
CAISO,Natural gas,billion kilowatthours,January,2011,6.59
CAISO,Coal,billion kilowatthours,January,2011,1.31
CAISO,Nuclear,billion kilowatthours,January,2011,2.53
CAISO,Conventional hydropower,billion kilowatthours,January,2011,3.22
CAISO,Nonhydro renewables,billion kilowatthours,January,2011,1.37
CAISO,other energy sources,billion kilowatthours,January,2011,-0.04
ISO-NE,Natural gas,billion kilowatthours,February,2011,4.07
ISO-NE,Coal,billion kilowatthours,February,2011,1.06
ISO-NE,Nuclear,billion kilowatthours,February,2011,3.04
ISO-NE,Conventional hydropower,billion kilowatthours,February,2011,0.53
